-0.6311  	-0.2889  	0.06746  	-1.6808  	-1.1127  	-1.0132  	-0.1483  	-0.3238  	0.20492  	0.94513  	0.98420  	-0.0444  	-0.3270  	-1.1610  	-0.4658  	0.76918  	-0.2661  	-0.1623  	0.21424  	0.80034  	0.31382  	-0.5288  	-0.4215  	0.06550  	-0.4959  	-0.0179  	-0.2297  	0.19652  	-0.2521  	-0.1432  	0.00682  	0.24977  	0.17132  	0.07742  	0.07169  	0.00314  	0.29608  	-0.0103  	-0.2030  	0.69586  	0.16810  	-0.0850  	-0.0415  	0.01476  	-0.0384  	-0.0335  	-0.0027  	0.01978  	-0.0032  	0.00217  	0.01074  	-0.0184  	-0.0303  	0.01467  	-0.0379  	-0.0285  	-0.0128  	-0.0083  	-0.0042  	0.05077  	0.01313  	-0.0154  	-0.0052  	0.01148  	0.04231  	-0.1109  	0.06590  	-0.0032  	-0.0334  	0.45501  	
-0.7318  	-0.3313  	-0.0257  	-1.6912  	-1.1360  	-0.9916  	-0.1903  	-0.3135  	0.19238  	0.91535  	0.95565  	-0.0542  	-0.3446  	-1.2185  	-0.4489  	0.71440  	-0.2420  	-0.1635  	0.24870  	0.75994  	0.35752  	-0.5554  	-0.3641  	0.07225  	-0.5577  	0.00068  	-0.2012  	0.19524  	-0.2715  	-0.1504  	0.00082  	0.26195  	0.14231  	0.08177  	0.07903  	-0.0247  	0.29052  	-0.0117  	-0.2049  	0.70201  	0.14597  	-0.0828  	-0.0696  	-0.0019  	-0.0211  	-0.0224  	-0.0093  	0.01489  	-0.0119  	0.01293  	-0.0026  	-0.0164  	-0.0231  	0.01796  	-0.0469  	-0.0312  	-0.0159  	-0.0081  	-0.0086  	0.05101  	0.01351  	-0.0185  	-0.0132  	0.00522  	0.04103  	-0.1097  	0.06816  	-0.0045  	-0.0328  	0.45765  	
-0.7539  	-0.3052  	-0.0398  	-1.6912  	-1.1302  	-0.9928  	-0.1923  	-0.3179  	0.20039  	0.89322  	0.95832  	-0.0469  	-0.3575  	-1.2014  	-0.4757  	0.71515  	-0.2502  	-0.1728  	0.23286  	0.77573  	0.37341  	-0.5485  	-0.3772  	0.06437  	-0.5932  	0.01596  	-0.2207  	0.18866  	-0.2542  	-0.1482  	0.00743  	0.24265  	0.15525  	0.09794  	0.08252  	-0.0341  	0.27743  	-0.0157  	-0.1945  	0.71226  	0.14683  	-0.0777  	-0.0711  	0.00176  	-0.0281  	-0.0261  	-0.0092  	0.01484  	-0.0056  	-0.0015  	0.00782  	-0.0172  	-0.0312  	0.02076  	-0.0484  	-0.0223  	-0.0128  	-0.0077  	-0.0058  	0.05445  	0.01786  	-0.0156  	-0.0137  	0.00244  	0.03998  	-0.1089  	0.06995  	-0.0057  	-0.0324  	0.46044  	
-0.7723  	-0.2822  	-0.0149  	-1.7724  	-1.1819  	-1.0144  	-0.1969  	-0.3512  	0.17652  	0.93468  	0.93782  	-0.0925  	-0.3733  	-1.2936  	-0.4750  	0.70075  	-0.2443  	-0.1705  	0.25175  	0.74929  	0.37056  	-0.5511  	-0.3488  	0.02197  	-0.5725  	0.00897  	-0.1943  	0.17413  	-0.2686  	-0.1468  	-0.0051  	0.25136  	0.14331  	0.07615  	0.03335  	-0.0134  	0.28706  	-0.0190  	-0.1859  	0.71602  	0.15019  	-0.0785  	-0.0617  	0.02164  	-0.0159  	-0.0240  	-0.0140  	0.00885  	-0.0127  	0.01176  	0.00544  	-0.0135  	-0.0340  	0.02045  	-0.0456  	-0.0318  	-0.0039  	-0.0032  	-0.0063  	0.04702  	0.01659  	-0.0254  	-0.0074  	0.00574  	0.03916  	-0.1085  	0.07127  	-0.0067  	-0.0322  	0.46339  	
-0.6946  	-0.2771  	0.05975  	-1.8227  	-1.2293  	-0.9828  	-0.1784  	-0.3436  	0.20200  	0.88072  	0.91802  	-0.1150  	-0.3720  	-1.3580  	-0.4856  	0.71638  	-0.2261  	-0.1843  	0.26786  	0.70662  	0.38234  	-0.5413  	-0.2658  	0.06555  	-0.5747  	0.00916  	-0.1294  	0.13277  	-0.2921  	-0.1463  	-0.0012  	0.26266  	0.15364  	0.06639  	0.02221  	-0.0153  	0.32974  	-0.0052  	-0.2255  	0.71882  	0.19261  	-0.0765  	-0.0455  	0.04694  	-0.0163  	-0.0265  	-0.0072  	0.00526  	-0.0158  	0.01170  	-0.0062  	-0.0142  	-0.0306  	0.02706  	-0.0431  	-0.0341  	-0.0108  	-0.0045  	-0.0041  	0.04556  	0.01810  	-0.0214  	-0.0131  	0.00357  	0.03858  	-0.1086  	0.07211  	-0.0077  	-0.0323  	0.46649  	
-0.4826  	-0.2762  	0.15943  	-1.6133  	-1.1510  	-0.7943  	-0.1977  	-0.3162  	0.22332  	0.82212  	0.83080  	-0.0510  	-0.3722  	-1.3418  	-0.4609  	0.85598  	-0.2162  	-0.1615  	0.25540  	0.73216  	0.31094  	-0.5565  	-0.3343  	0.04044  	-0.5449  	0.02376  	-0.1908  	0.21307  	-0.2247  	-0.1249  	0.00029  	0.28105  	0.14983  	0.07875  	0.01498  	0.01502  	0.29433  	-0.0187  	-0.2176  	0.68500  	0.20929  	-0.0984  	-0.0292  	0.03981  	-0.0333  	-0.0280  	-0.0007  	0.01849  	-0.0090  	0.00828  	0.00152  	-0.0154  	-0.0238  	0.01830  	-0.0431  	-0.0346  	-0.0076  	-0.0039  	-0.0078  	0.03773  	0.01574  	-0.0145  	-0.0043  	0.00955  	0.03822  	-0.1092  	0.07248  	-0.0086  	-0.0326  	0.46974  	
-0.3604  	-0.2430  	0.24390  	-1.4416  	-1.0371  	-0.7472  	-0.1649  	-0.3140  	0.21998  	0.89480  	0.77087  	-0.0124  	-0.3431  	-1.3317  	-0.4178  	0.95581  	-0.2638  	-0.1510  	0.22711  	0.78557  	0.22979  	-0.5524  	-0.4238  	0.00954  	-0.5143  	-0.0048  	-0.2328  	0.29943  	-0.1884  	-0.1319  	-0.0073  	0.27988  	0.13196  	0.06865  	0.02285  	0.05305  	0.26198  	-0.0216  	-0.1932  	0.73524  	0.18326  	-0.1108  	-0.0159  	0.04582  	-0.0323  	-0.0298  	-0.0015  	0.02822  	0.00176  	-0.0098  	0.01783  	-0.0154  	-0.0234  	0.01160  	-0.0381  	-0.0303  	-0.0052  	-0.0099  	-0.0089  	0.04562  	0.01428  	-0.0263  	-0.0055  	0.01400  	0.03810  	-0.1102  	0.07237  	-0.0094  	-0.0332  	0.47314  	
-0.2504  	-0.2333  	0.29093  	-1.3424  	-0.9657  	-0.6982  	-0.1521  	-0.2997  	0.22375  	0.91554  	0.80446  	-0.0196  	-0.3482  	-1.2964  	-0.3709  	1.04409  	-0.3124  	-0.1303  	0.23974  	0.80668  	0.23939  	-0.5353  	-0.5114  	0.00121  	-0.4463  	-0.0325  	-0.1830  	0.29821  	-0.1885  	-0.1075  	-0.0563  	0.29866  	0.12937  	0.08134  	0.08542  	0.09210  	0.27511  	-0.0002  	-0.1979  	0.73437  	0.14847  	-0.0814  	-0.0293  	0.03005  	-0.0377  	-0.0271  	-0.0103  	0.03271  	0.00050  	-0.0028  	0.01903  	-0.0134  	-0.0207  	0.01676  	-0.0380  	-0.0269  	-0.0032  	-0.0076  	-0.0056  	0.04626  	0.01120  	-0.0321  	-0.0048  	0.00956  	0.03799  	-0.1128  	0.07169  	-0.0094  	-0.0350  	0.47588  	
-0.2125  	-0.2398  	0.26694  	-1.3630  	-0.9730  	-0.6952  	-0.1324  	-0.3555  	0.20781  	0.89811  	0.76772  	-0.0525  	-0.3462  	-1.3169  	-0.4116  	1.05587  	-0.3002  	-0.1631  	0.23524  	0.76119  	0.24352  	-0.5361  	-0.5153  	0.03382  	-0.4505  	-0.0432  	-0.1166  	0.23953  	-0.2211  	-0.0891  	-0.0579  	0.33347  	0.10935  	0.08567  	0.10023  	0.10597  	0.30034  	0.01224  	-0.2121  	0.74692  	0.15912  	-0.0765  	-0.0258  	0.04245  	-0.0280  	-0.0304  	-0.0206  	0.03084  	0.01096  	-0.0093  	0.01549  	-0.0137  	-0.0167  	0.02201  	-0.0375  	-0.0262  	-0.0041  	-0.0077  	-0.0036  	0.04541  	0.01035  	-0.0302  	-0.0049  	0.01025  	0.03697  	-0.1155  	0.07037  	-0.0100  	-0.0359  	0.47746  	
-0.2254  	-0.2211  	0.24700  	-1.3674  	-0.9910  	-0.7118  	-0.1475  	-0.3238  	0.21084  	0.86861  	0.76493  	-0.0488  	-0.3478  	-1.2800  	-0.4045  	1.01861  	-0.2776  	-0.1411  	0.24666  	0.77702  	0.23762  	-0.4998  	-0.5237  	0.03129  	-0.4408  	-0.0458  	-0.1290  	0.25581  	-0.2139  	-0.0884  	-0.0554  	0.33227  	0.11913  	0.07933  	0.09565  	0.08866  	0.29172  	0.00545  	-0.2060  	0.73183  	0.16006  	-0.0807  	-0.0261  	0.03642  	-0.0248  	-0.0299  	-0.0207  	0.03046  	0.01183  	-0.0111  	0.01353  	-0.0115  	-0.0137  	0.01994  	-0.0362  	-0.0259  	-0.0056  	-0.0074  	-0.0047  	0.04627  	0.01523  	-0.0271  	-0.0104  	0.00636  	0.03807  	-0.1182  	0.06852  	-0.0109  	-0.0367  	0.48277  	
