-0.5309  	0.29251  	-0.4023  	-2.8795  	-1.4682  	-2.6687  	1.07370  	0.89966  	0.17000  	0.74244  	0.88510  	0.16353  	-0.1287  	-0.1197  	0.65252  	0.13066  	0.11464  	0.50475  	0.80181  	1.25654  	0.44512  	-0.4777  	-0.0365  	-0.3330  	1.07483  	-0.1050  	-0.0047  	0.75156  	-0.1828  	-0.0365  	0.07724  	0.04403  	-0.3585  	-0.0634  	0.78007  	-0.1832  	0.23411  	-0.2669  	-0.6981  	0.54077  	0.29595  	-0.1967  	-0.3360  	0.74133  	0.26079  	-0.1235  	0.04078  	-0.0425  	-0.0259  	-0.1332  	-0.0226  	-0.0564  	-0.0680  	-0.0107  	-0.0382  	-0.0840  	0.01311  	-0.0081  	0.00653  	0.00418  	-0.0200  	-0.0144  	0.15485  	0.02624  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.6721  	0.27141  	-0.4653  	-3.1263  	-1.6044  	-2.6624  	1.06890  	0.76381  	0.11465  	0.83592  	0.70340  	0.06564  	-0.1564  	-0.4297  	0.40515  	0.14051  	0.15773  	0.61192  	0.83887  	1.15650  	0.21865  	-0.4355  	0.05749  	-0.4564  	1.11376  	-0.0740  	-0.1157  	0.87111  	-0.0385  	-0.0444  	0.13179  	0.03926  	-0.4220  	-0.0847  	0.51905  	-0.0979  	0.14345  	-0.2664  	-0.6555  	0.51495  	0.41262  	-0.2219  	-0.2782  	0.78320  	0.25447  	-0.1434  	0.04922  	-0.0152  	-0.0219  	-0.1331  	-0.0217  	-0.0656  	-0.0701  	-0.0109  	-0.0271  	-0.1055  	0.02906  	0.00262  	0.01273  	0.00845  	-0.0266  	-0.0114  	0.17293  	0.04413  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.7566  	0.23539  	-0.5557  	-3.1587  	-1.6595  	-2.7038  	1.03113  	0.68970  	0.07925  	0.78705  	0.86814  	0.06952  	-0.2697  	-0.6968  	0.29536  	0.19291  	0.21051  	0.55906  	0.81421  	1.14025  	0.25700  	-0.4828  	0.07460  	-0.4675  	1.15661  	-0.0728  	0.01752  	0.81960  	-0.0260  	-0.0256  	0.07487  	0.06512  	-0.4413  	-0.0979  	0.56984  	-0.0898  	0.22837  	-0.2403  	-0.6641  	0.49233  	0.41217  	-0.1970  	-0.2775  	0.77730  	0.27117  	-0.1419  	0.05234  	-0.0451  	-0.0265  	-0.1437  	-0.0237  	-0.0502  	-0.0730  	-0.0042  	-0.0183  	-0.0974  	0.02318  	0.00177  	0.00509  	0.00345  	-0.0263  	-0.0043  	0.16934  	0.04081  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.6126  	0.27827  	-0.5254  	-3.0626  	-1.6441  	-2.6471  	0.98310  	0.73781  	0.07668  	0.72589  	0.94156  	0.09571  	-0.3239  	-0.5639  	0.40367  	0.22221  	0.17911  	0.48008  	0.81317  	1.12234  	0.44928  	-0.4769  	0.06569  	-0.3257  	1.18919  	-0.1160  	0.09764  	0.69338  	-0.1727  	-0.0378  	0.06895  	0.08978  	-0.4442  	-0.0899  	0.76177  	-0.1119  	0.33319  	-0.2211  	-0.7482  	0.49332  	0.34382  	-0.1980  	-0.3195  	0.77445  	0.28163  	-0.1325  	0.05398  	-0.0735  	-0.0386  	-0.1255  	-0.0243  	-0.0585  	-0.0611  	-0.0058  	-0.0302  	-0.0933  	0.01908  	0.00711  	-0.0018  	-0.0056  	-0.0350  	-0.0169  	0.17742  	0.03324  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.4928  	0.25631  	-0.4397  	-2.9107  	-1.5596  	-2.5637  	1.04330  	0.77444  	0.10377  	0.70140  	0.90017  	0.12025  	-0.2524  	-0.4867  	0.39236  	0.25182  	0.14752  	0.52682  	0.80871  	1.14878  	0.38702  	-0.5411  	0.00110  	-0.3529  	1.16272  	-0.1046  	0.06820  	0.74498  	-0.1307  	-0.0535  	0.05892  	0.09159  	-0.4031  	-0.1044  	0.83443  	-0.0570  	0.27965  	-0.2535  	-0.7542  	0.51374  	0.32338  	-0.1845  	-0.3305  	0.77796  	0.28150  	-0.1418  	0.05647  	-0.0548  	-0.0318  	-0.1351  	-0.0101  	-0.0544  	-0.0580  	-0.0101  	-0.0171  	-0.0923  	0.02433  	-0.0014  	-0.0015  	-0.0025  	-0.0322  	-0.0197  	0.18008  	0.04211  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.3718  	0.32298  	-0.3184  	-2.8651  	-1.5056  	-2.5469  	1.06069  	0.76849  	0.15205  	0.81129  	0.87410  	0.21109  	-0.2120  	-0.4528  	0.38753  	0.31757  	0.08511  	0.56748  	0.82863  	1.23815  	0.36022  	-0.5168  	-0.0931  	-0.4313  	1.12984  	-0.1409  	-0.0282  	0.79149  	-0.1127  	-0.0392  	0.04268  	0.09290  	-0.4186  	-0.0813  	0.82243  	-0.0384  	0.27591  	-0.2524  	-0.7304  	0.54780  	0.32450  	-0.1754  	-0.3376  	0.74641  	0.26757  	-0.1381  	0.05388  	-0.0433  	-0.0255  	-0.1353  	0.00627  	-0.0557  	-0.0588  	-0.0124  	-0.0193  	-0.0802  	0.02870  	8.15215  	0.00975  	-0.0005  	-0.0298  	-0.0201  	0.17341  	0.03929  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.3622  	0.30167  	-0.3115  	-2.8947  	-1.5062  	-2.5630  	1.05446  	0.71054  	0.08038  	0.84107  	0.89631  	0.17336  	-0.2546  	-0.4673  	0.33182  	0.38131  	0.06370  	0.60640  	0.81766  	1.28439  	0.30736  	-0.5286  	-0.1374  	-0.4036  	1.17894  	-0.1533  	-0.0067  	0.81636  	-0.0517  	-0.0186  	0.02042  	0.11043  	-0.4190  	-0.0870  	0.80154  	-0.0016  	0.23872  	-0.2605  	-0.7152  	0.58230  	0.31354  	-0.1835  	-0.3206  	0.76322  	0.25581  	-0.1418  	0.04892  	-0.0476  	-0.0193  	-0.1357  	0.00965  	-0.0614  	-0.0582  	-0.0115  	-0.0129  	-0.0832  	0.02853  	0.00243  	0.00408  	0.00418  	-0.0345  	-0.0205  	0.18012  	0.03451  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.7543  	0.21823  	-0.5495  	-3.0713  	-1.6222  	-2.8183  	0.99485  	0.70077  	0.04756  	0.76202  	0.99397  	0.04636  	-0.3086  	-0.5392  	0.39662  	0.21399  	0.14410  	0.53091  	0.86329  	1.18244  	0.47690  	-0.5191  	-0.0228  	-0.3089  	1.21695  	-0.1440  	0.11939  	0.67017  	-0.2093  	-0.0141  	0.05305  	0.11847  	-0.4649  	-0.0927  	0.83578  	-0.0290  	0.34233  	-0.2407  	-0.8053  	0.48079  	0.29715  	-0.1702  	-0.3648  	0.74906  	0.27524  	-0.1421  	0.05388  	-0.0887  	-0.0307  	-0.1219  	0.00102  	-0.0616  	-0.0536  	0.00093  	-0.0162  	-0.0768  	0.02051  	0.00409  	0.01752  	0.00433  	-0.0361  	-0.0152  	0.17506  	0.02923  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.6671  	0.28995  	-0.6012  	-2.9484  	-1.5315  	-2.7584  	0.94342  	0.79924  	0.07591  	0.63964  	0.88656  	0.16138  	-0.3080  	-0.3348  	0.67064  	0.13409  	0.16726  	0.45660  	0.84253  	1.07048  	0.54697  	-0.4686  	0.08265  	-0.3192  	1.18697  	-0.1408  	0.21700  	0.52492  	-0.2592  	0.03537  	0.03766  	0.09046  	-0.4743  	-0.1074  	0.85317  	-0.1323  	0.36176  	-0.2338  	-0.7991  	0.50493  	0.24950  	-0.1791  	-0.3567  	0.76689  	0.27263  	-0.1328  	0.04960  	-0.0686  	-0.0407  	-0.1308  	-0.0225  	-0.0540  	-0.0642  	0.00441  	-0.0357  	-0.0840  	0.01791  	-0.0020  	0.01007  	-0.0023  	-0.0349  	-0.0102  	0.17178  	0.02204  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.3215  	0.33320  	-0.3369  	-2.7696  	-1.4464  	-2.4507  	0.99506  	0.84714  	0.11602  	0.64437  	0.77056  	0.14938  	-0.2216  	-0.3451  	0.57785  	0.32402  	0.11942  	0.51019  	0.83917  	1.16351  	0.48908  	-0.4919  	-0.0048  	-0.3562  	1.17246  	-0.1285  	0.13956  	0.65336  	-0.1840  	-0.0317  	0.00744  	0.08856  	-0.3991  	-0.0967  	0.85520  	-0.0990  	0.34261  	-0.2182  	-0.7576  	0.52820  	0.26388  	-0.1835  	-0.3166  	0.76867  	0.27459  	-0.1440  	0.05906  	-0.0443  	-0.0232  	-0.1425  	-0.0071  	-0.0589  	-0.0685  	-0.0026  	-0.0228  	-0.0797  	0.02495  	-0.0048  	0.00558  	0.00442  	-0.0379  	-0.0239  	0.16456  	0.03006  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
-0.1294  	0.39085  	-0.2279  	-2.6133  	-1.3215  	-2.4714  	1.04103  	0.80188  	0.13383  	0.76919  	0.83331  	0.26767  	-0.2284  	-0.3780  	0.53295  	0.50101  	0.08206  	0.54558  	0.82931  	1.25300  	0.47922  	-0.4831  	-0.1460  	-0.3254  	1.21935  	-0.1545  	0.08487  	0.70887  	-0.1943  	-0.0138  	0.02611  	0.09796  	-0.4151  	-0.0769  	0.89438  	-0.0609  	0.34707  	-0.2143  	-0.7672  	0.53936  	0.26849  	-0.1812  	-0.3178  	0.77685  	0.27764  	-0.1284  	0.05521  	-0.0353  	-0.0248  	-0.1453  	0.01222  	-0.0548  	-0.0610  	-0.0153  	-0.0237  	-0.0791  	0.03009  	0.00196  	0.00707  	0.00286  	-0.0402  	-0.0217  	0.16829  	0.02782  	0.33221  	0.21428  	-0.2797  	-0.0024  	-0.0580  	0.22758  	1.21986  	126.623  	120.662  	
